year,month,week,nuts,totalmort,mean_maxt,mean_mint,mean_avgt,precipitation,snow
2018,10,41,NL212,27,16.83934211730957,7.132468223571777,11.99672794342041,1.0825499296188354,0
2018,10,41,NL213,91,17.017147064208984,6.926329135894775,11.970104217529297,0.9725248217582703,0
2018,10,41,NL221,107,16.802064895629883,7.554612159729004,12.186259269714355,1.0925878286361694,0
2018,10,41,NL224,47,17.310054779052734,7.436389923095703,12.39362907409668,1.0675771236419678,0
2018,10,41,NL225,69,17.16817855834961,7.132126808166504,12.149011611938477,0.9419125914573669,0
2018,10,41,NL226,121,17.241657257080078,7.538590431213379,12.401558876037598,0.949209451675415,0
2018,10,41,NL230,56,16.486446380615234,7.914259433746338,12.19533634185791,1.2298325300216675,0
2018,10,41,NL310,164,16.807653427124023,7.93710470199585,12.390363693237305,1.125915288925171,0
2018,10,41,NL321,56,16.0008487701416,9.012073516845703,12.519279479980469,1.34807288646698,0
2018,10,41,NL323,41,16.274192810058594,8.925806045532227,12.612903594970703,1.6322580575942993,0
2018,10,41,NL324,35,16.41733169555664,8.832366943359375,12.635997772216797,1.5352182388305664,0
2018,10,41,NL325,24,16.27492332458496,8.91120433807373,12.60472583770752,1.6239346265792847,0
2018,10,41,NL327,52,16.639957427978516,8.177447319030762,12.420563697814941,1.2654887437820435,0
2018,10,41,NL328,37,16.15172004699707,9.162211418151855,12.658933639526367,1.5157392024993896,0
2018,10,41,NL329,170,16.448169708251953,8.748430252075195,12.605910301208496,1.3630954027175903,0
2018,10,41,NL332,148,16.67159080505371,8.492019653320312,12.569785118103027,1.732854962348938,0
2018,10,41,NL333,40,16.769901275634766,9.127318382263184,12.932705879211426,1.6852118968963623,0
2018,10,41,NL337,72,16.502342224121094,8.467268943786621,12.475985527038574,1.8260747194290161,0
2018,10,41,NL33A,53,17.1639347076416,7.973539352416992,12.585200309753418,1.5514436960220337,0
2018,10,41,NL33B,45,16.81538963317871,8.555854797363281,12.69316291809082,1.2943803071975708,0
2018,10,41,NL33C,227,16.887882232666016,8.851054191589355,12.866122245788574,1.661575198173523,0
2018,10,41,NL341,30,17.095165252685547,9.521910667419434,13.30600643157959,1.7974059581756592,0
2018,10,41,NL342,47,16.940778732299805,9.92302417755127,13.43105697631836,1.487168788909912,0
2018,10,41,NL411,115,17.371562957763672,8.147527694702148,12.75210952758789,1.6342121362686157,0
2018,10,41,NL412,87,17.529254913330078,7.691651821136475,12.60661506652832,1.2336816787719727,0
2018,10,41,NL413,107,17.613849639892578,7.626174449920654,12.625545501708984,1.1011775732040405,0
2018,10,41,NL414,124,17.689102172851562,7.3745317459106445,12.534605979919434,1.0529361963272095,0
2018,10,41,NL421,44,17.61190414428711,7.401371479034424,12.517107963562012,0.7726221084594727,0
2018,10,41,NL422,39,17.68143081665039,6.969694137573242,12.34878921508789,0.8823872804641724,0
2018,10,41,NL423,117,17.168363571166992,8.215715408325195,12.69498348236084,1.1617313623428345,0
2018,10,42,NL112,13,16.488304138183594,8.140949249267578,12.324707984924316,1.0668280124664307,0
2018,10,42,NL124,54,15.8930025100708,8.80917739868164,12.363991737365723,1.2452714443206787,0
2018,10,42,NL125,27,15.909814834594727,8.505064010620117,12.208024978637695,1.0830044746398926,0
2018,10,42,NL126,41,16.333513259887695,7.789068698883057,12.059995651245117,1.172067642211914,0
2018,10,42,NL131,35,16.492921829223633,7.306880950927734,11.908929824829102,1.1009924411773682,0
2018,10,42,NL132,38,16.682592391967773,7.064356803894043,11.866086959838867,1.0937787294387817,0
2018,10,42,NL133,30,16.564149856567383,7.3055219650268555,11.947954177856445,1.2346128225326538,0
2018,10,42,NL211,57,16.62289810180664,7.442962169647217,12.035294532775879,1.263431429862976,0
2018,10,42,NL212,26,16.83934211730957,7.132468223571777,11.99672794342041,1.0825499296188354,0
2018,10,42,NL213,112,17.017147064208984,6.926329135894775,11.970104217529297,0.9725248217582703,0
2018,10,42,NL221,105,16.802064895629883,7.554612159729004,12.186259269714355,1.0925878286361694,0
2018,10,42,NL224,44,17.310054779052734,7.436389923095703,12.39362907409668,1.0675771236419678,0
2018,10,42,NL225,49,17.16817855834961,7.132126808166504,12.149011611938477,0.9419125914573669,0
2018,10,42,NL226,122,17.241657257080078,7.538590431213379,12.401558876037598,0.949209451675415,0
2018,10,42,NL230,58,16.486446380615234,7.914259433746338,12.19533634185791,1.2298325300216675,0
2018,10,42,NL310,175,16.807653427124023,7.93710470199585,12.390363693237305,1.125915288925171,0
2018,10,42,NL321,60,16.0008487701416,9.012073516845703,12.519279479980469,1.34807288646698,0
2018,10,42,NL323,41,16.274192810058594,8.925806045532227,12.612903594970703,1.6322580575942993,0
2018,10,42,NL324,44,16.41733169555664,8.832366943359375,12.635997772216797,1.5352182388305664,0
2018,10,42,NL325,28,16.27492332458496,8.91120433807373,12.60472583770752,1.6239346265792847,0
2018,10,42,NL327,46,16.639957427978516,8.177447319030762,12.420563697814941,1.2654887437820435,0
2018,10,42,NL328,47,16.15172004699707,9.162211418151855,12.658933639526367,1.5157392024993896,0
2018,10,42,NL329,148,16.448169708251953,8.748430252075195,12.605910301208496,1.3630954027175903,0
2018,10,42,NL332,137,16.67159080505371,8.492019653320312,12.569785118103027,1.732854962348938,0
2018,10,42,NL333,38,16.769901275634766,9.127318382263184,12.932705879211426,1.6852118968963623,0
2018,10,42,NL337,66,16.502342224121094,8.467268943786621,12.475985527038574,1.8260747194290161,0
